Name,Cusine,Coordinates,Address,Address(Full)
Dolce Gelato,Ice Cream & Frozen Yogurt; Desserts; Coffee & Tea,"(43.655055, -79.4175587)",697 College Street,"Dolce Gelato, 697, College Street, College Square, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6G 1B9, Canada"
Museum Tavern,American (Traditional),"(43.668579, -79.395899)",208 Bloor Street W,"Museum Tavern Restaurant & Bar, 208, Bloor Street West, Bloor Street Culture Corridor, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5C 1S8, Canada"
Guu Izakaya Toronto,Japanese; Tapas Bars; Sushi Bars,"(43.6418468, -79.4310779)",1314 Queen Street W,"Guu Izakaya, 1314, Queen Street West, Parkdale, Parkdale—High Park, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6K 1M1, Canada"
Rhum Corner,Caribbean; Salad; Cocktail Bars,"(43.6509573, -79.4131854)",926 Dundas Street W,"Rhum Corner, 926, Dundas Street West, Kensington Market, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6J 1W3, Canada"
Trattoria Taverniti,Italian; Pizza,"(43.6551467, -79.4134866)",591 College Street,"Trattoria Taverniti, 591, College Street, College Square, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6G 1C2, Canada"
Michaels on Simcoe,Steakhouses; Italian; Seafood,"(43.648505, -79.386687)",100 Simcoe Street,"100, Simcoe Street, Entertainment District, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, Canada"
Tokyo Kitchen,Japanese,"(43.0394489, -80.8828377)",20 Charles Street E,"20, Charles Street East, Ingersoll, Oxford County, Ontario, N5C 1J9, Canada"
Bobbette & Belle,Caterers; Bakeries; Desserts,"(43.6620741076923, -79.3348892846154)",1121 Queen Street E,"1121, Queen Street East, Leslieville, East York, Toronto—Danforth, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4M 1L2, Canada"
Crown Princess Fine Dining,Dim Sum,"(43.6659781, -79.3875905)",1033 Bay Street,"Hair District, 1033, Bay Street, Church-Wellesley Village, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5S 3A5, Canada"
Asian Legend,Dim Sum,"(44.1473008, -77.4081884)",418 Dundas Street W,"418, Dundas Street West, Belleville, Central Ontario, Ontario, K8P 1H2, Canada"
Stout Irish Pub,Pubs; Irish,"(43.6639293, -79.3689731)",221 Carlton Street,"Stout Irish Pub, 221, Carlton Street, Cabbagetown, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5A 2L2, Canada"
The Good Son,Pizza; Cocktail Bars,"(43.6435241, -79.4227423)",1096 Queen Street W,"Good Son, 1096, Queen Street West, Little Portugal, Davenport, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6J 1H9, Canada"
Communists Daughter,Bars,"(43.6492386, -79.421082)",1149 Dundas Street W,"Communist's Daughter, 1149, Dundas Street West, Ossington Strip, Davenport, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6H 1Y3, Canada"
Chino Locos Original,Mexican,"(43.6645727333333, -79.3255695)",4 Greenwood Avenue,"4, Greenwood Avenue, East End, East York, Toronto—Danforth, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4L 2W6, Canada"
Cibo Wine Bar,Wine Bars; Italian,"(43.645138, -79.3973632)",522 King Street W,"Cibo, 522, King Street West, Fashion District, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5V 1L7, Canada"
Smokes Poutinerie,Fast Food; Poutineries,"(43.648518, -79.3877431)",218 Adelaide Street W,"Smokes Poutinerie, 218, Adelaide Street West, Entertainment District, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, Canada"
Frans Restaurant,Diners; Breakfast & Brunch; American (Traditional),"(43.6613378, -79.3840301)",20 College Street,"Fran's Restaurant, 20, College Street, Church-Wellesley Village, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5G 2J3, Canada"
Thai Country Kitchen,Thai; Noodles,"(43.656276, -79.39966675)",412 Spadina Ave,"412, Spadina Avenue, Chinatown, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5T 2G7, Canada"
Utsav,Food Delivery Services; Indian,"(43.671088, -79.3909925)",69 Yorkville Ave,"69, Yorkville Avenue, Yorkville, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4W 0A4, Canada"
Fahrenheit Coffee,Coffee & Tea,"(43.646986, -79.4005755)",529 Richmond Street W,"529, Richmond Street West, Queen West, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5V 1Y6, Canada"
Versus Coffee,Coffee & Tea,"(43.6511922857143, -79.3752992857143)",70 Adelaide Street E,"70, Adelaide Street East, King East, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5C 2T6, Canada"
Tilt Arcade Bar,Arcades; Bars,"(43.6517699166667, -79.4092651833333)",824 Dundas Street West,"824, Dundas Street West, Kensington Market, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6J 1W3, Canada"
Pho Hung,Vietnamese,"(43.654436, -79.398953)",350 Spadina Avenue,"350, Spadina Avenue, Chinatown, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5T 2G7, Canada"
Bar Sybanne,Mediterranean; Moroccan; Middle Eastern,"(43.6490818, -79.4205073)",229 Ossington Avenue,"Bar Sybanne, 229, Ossington Avenue, Ossington Strip, Davenport, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6J 2Z5, Canada"
Northwood,Cafes; Cocktail Bars,"(43.6039517412601, -79.6066578712961)",815 W Bloor Street,"815, Bloor Street, Applewood Heights, Lakeview, Mississauga, Peel Region, Golden Horseshoe, Ontario, L4X 1L3, Canada"
Doomies Toronto,Vegan; Vegetarian,"(43.6416536, -79.432112)",1346 Queen St W,"1346, Queen Street West, Parkdale, Parkdale—High Park, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6K 1M1, Canada"
Pearl Harbourfront Chinese Cuisine,Dim Sum; Seafood; Noodles,"(43.6384591, -79.3801324)",207 Queens Quay W,"The Goodman Pub and Kitchen, 207, Queens Quay West, Harbourfront, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5J 1A7, Canada"
Death in Venice Gelato,Ice Cream & Frozen Yogurt,"(43.264206, -79.95369)",1418 Dundas West,"Dundas, Hamilton, Ontario, L9H 7S6, Canada"
Istanbul Cafe & Espresso Bar,Coffee & Tea; Turkish; Internet Cafes,"(43.707874, -79.3931884)",174 Eglinton Avenue E,"174, Eglinton Avenue East, Yonge & Eglinton, Toronto—St. Paul's, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4P 1A9, Canada"
Ruths Chris Steak House,Steakhouses; Seafood; Lounges,"(43.64993865, -79.3853803728614)",145 Richmond Street W,"Hilton, 145, Richmond Street West, Financial District, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, Canada"
Fieramosca,Italian,"(43.6695014, -79.3973053)",36A Prince Arthur Avenue,"Fieramosca Cafe, 36A, Prince Arthur Avenue, Bloor Street Culture Corridor, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5R 2G2, Canada"
Suite 114,Cocktail Bars,"(43.6557298, -79.3843629)",116 Dundas Street W,"Pablo, 116, Dundas Street West, First Chinatown, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5G 1C3, Canada"
O.Noir,Canadian (New),"(43.6689007, -79.3826490992657)",620 Church St,"Town Inn Suites, 620, Church Street, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4Y 2C7, Canada"
The Lakeview,Diners; Canadian (New),"(43.64955685, -79.4203200964309)",1132 Dundas Street W,"The Lakeview Restaurant, 1132, Dundas Street West, Ossington Strip, Davenport, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6J 1X2, Canada"
Poutinis House of Poutine,Fast Food; Poutineries,"(43.6434254, -79.4231939)",1112 Queen Street W,"Poutini’s House of Poutine, 1112, Queen Street West, Little Portugal, Davenport, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6J 1H9, Canada"
Madras Masala,Indian,"(43.6631513, -79.4219757)",796 Bloor Street W,"Banjara, 796, Bloor Street West, Koreatown, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6E 4A1, Canada"
Formocha,Coffee & Tea,"(43.707044, -79.396175)",55 Eglinton Avenue E,"TYC, 55, Eglinton Avenue East, Yonge & Eglinton, Toronto—St. Paul's, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4P 1A9, Canada"
W Burger Bar,Burgers; Breakfast & Brunch; Bars,"(48.437734, -89.2312358)",10 College Street,"10, College Street, Port Arthur, Thunder Bay, Thunder Bay District, Northwestern Ontario, Ontario, P7B 2W3, Canada"
Carmen,Spanish,"(43.6449167, -79.4158356)",922 Queen Street W,"Carmen, 922, Queen Street West, West Queen West, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6J 1G6, Canada"
Tango Palace Coffee Company,Coffee & Tea,"(43.66267885, -79.3336490710893)",1156 Queen Street E,"Tango Palace Coffee Company, 1156, Queen Street East, Leslieville, East York, Toronto—Danforth, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4M 1L2, Canada"
When The Pig Came Home,Delicatessen; Sandwiches,"(43.6653593, -79.4706369)",3035 Dundas Street W,"When the Pig Came Home Delicatessen, 3035, Dundas Street West, Little Malta, The Junction, Parkdale—High Park, Old Toronto, Toronto, Golden Horseshoe, Ontario, Canada"
Dutch Dreams,Ice Cream & Frozen Yogurt,"(43.6820431, -79.4188975)",36 Vaughan Road,"Dutch Dreams, 36, Vaughan Road, St. Clair West, Toronto—St. Paul's, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5R 3J3, Canada"
Sam James Coffee Bar,Coffee & Tea,"(43.648113, -79.3844605467909)",150 King Street W,"Sun Life Financial, 150, King Street West, Financial District, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, Canada"
The Keg Steakhouse & Bar,Steakhouses; Bars,"(44.21935025, -76.5134725827835)",560 King Street W,"Kingston Penitentiary (CLOSED), 560, King Street West, Portsmouth, Kingston, Ontario, K7L 4L3, Canada"
Dimmi Bar & Trattoria,Italian; Venues & Event Spaces,"(43.670032, -79.392816)",140 Cumberland St,"140, Cumberland Street, Bloor Street Culture Corridor, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5R 3V5, Canada"
Forget Me Not Cafe,Vietnamese,"(43.7305496217391, -79.4665317)",883 Wilson Avenue,"883, Wilson Avenue, Downsview, York Centre, North York, Toronto, Ontario, M3K 1S6, Canada"
Bindia Indian Bistro,Indian,"(43.648552, -79.3720365)",16 Market Street,"Bindia Indian Bistro, 16, Market Street, St. Lawrence, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5E 1C3, Canada"
Barsa Taberna,Tapas Bars,"(43.6487145, -79.3721364)",26 Market Street,"Barsa, 26, Market Street, St. Lawrence, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5E 1C3, Canada"
The Oxley,Gastropubs,"(43.6705986, -79.3929564300385)",121 Yorkville Avenue,"The Oxley, 121, Yorkville Avenue, Bloor Street Culture Corridor, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5R 1C4, Canada"
To-ne Sushi,Japanese; Sushi Bars; Asian Fusion,"(43.6485699, -79.397782)",414 Queen Street W,"to-ne Sushi, 414, Queen Street West, Queen West, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5V 2B4, Canada"
Nathan Phillips Square,Landmarks & Historical Buildings,"(43.6536032, -79.3840054746967)",100 Queen Street W,"Toronto City Hall, 100, Queen Street West, Financial District, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, Canada"
Carbonic Coffee,Coffee & Tea; Coffee Roasteries; Cafes,"(46.28691031276, -81.7605877215347)",37 Baldwin Street,"37, Baldwin Street, Baldwin, Sudbury District, Ontario, P0P 1M0, Canada"
Medieval Times Toronto,Dinner Theater; American (Traditional),"(43.8682676, -79.867843)",10 Dufferin Street,"10, Dufferin Street, Caledon, Peel Region, Golden Horseshoe, Ontario, L7C 1H9, Canada"
Blu Ristorante,Italian; Lounges,"(43.6715676, -79.3884266)",17 Yorkville Ave,"Blü Ristorante & Lounge, 17, Yorkville Avenue, Yorkville, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4W 1L1, Canada"
Chabrol Restaurant,French,"(43.6712928, -79.3920088)",90 Yorkville Avenue,"Chabrol, 90, Yorkville Avenue, Yorkville, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5R 0B4, Canada"
Mr Pide,Pizza; Turkish,"(43.6797272157895, -79.3415910736842)",800 Danforth Avenue,"800, Danforth Avenue, Greektown, East York, Toronto—Danforth, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4K 1N8, Canada"
Burrito Bandidos,Mexican,"(42.9985193, -81.2596977)",2 Grosvenor Street,"2, Grosvenor Street, Stoneybrook Gardens, London, Southwestern Ontario, Ontario, N5Y 5A1, Canada"
Hot-Star,Chicken Wings; Taiwanese; Fast Food,"(43.6588562, -79.3821679)",374A Yonge Street,"Sushi Tower Japanese Restaurant, 374A, Yonge Street, Downtown Yonge, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5B 1R8, Canada"
Tokyo Sushi,Sushi Bars; Japanese,"(43.66561, -79.387169)",33 St Joseph Street,"Tokyo Sushi, 33, St. Joseph Street, Church-Wellesley Village, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5S 3A5, Canada"
The Tilted Dog Pub & Kitchen,Sandwiches; Pubs,"(43.66291795, -79.367603875)",424 Parliament Street,"424, Parliament Street, Cabbagetown, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5A 3A2, Canada"
Gyugyuya,Japanese; Fast Food,"(43.654999, -79.386381)",177 Dundas Street W,"12 o'lunch, 177, Dundas Street West, First Chinatown, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5G 1C7, Canada"
KINTON RAMEN,Ramen,"(43.648699, -79.397211)",402 Queen St W,"Kinton Ramen, 402, Queen Street West, Queen West, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5V 2A9, Canada"
Koyoi Restaurant & Bar,Japanese; Bars,"(43.666753, -79.385455)",2 Irwin Avenue,"2, Irwin Avenue, Church-Wellesley Village, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4Y 1Z4, Canada"
Rolltation,Sushi Bars; Asian Fusion; Poke,"(43.7075548, -79.3983193)",2291 Yonge Street,"Rolltation, 2291, Yonge Street, Yonge & Eglinton, Toronto—St. Paul's, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4P 2C6, Canada"
Omai Restaurant,Japanese,"(43.264549, -79.9516669)",3 Baldwin Street,"3, Baldwin Street, Cootes Paradise, Ancaster, Dundas, Hamilton, Ontario, L9H 7S6, Canada"
Kupfert & Kim,Vegetarian; Vegan; Gluten-Free,"(43.2573701, -79.8701871441768)",100 King Street West,"100 King Street West, 100, King Street West, Hess Village, Hamilton, Golden Horseshoe, Ontario, L8R 3L4, Canada"
Lake Inez,Bars; Asian Fusion,"(43.67243925, -79.32075005)",1471 Gerrard Street E,"1471, Gerrard Street East, Gerrard India Bazaar, East York, Toronto—Danforth, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4L 3B2, Canada"
The Keg Steakhouse + Bar - Esplanade,Steakhouses; Bars; Seafood,"(43.6466575, -79.3749662)",26 The Esplanade,"The Keg, 26, The Esplanade, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5E 1A7, Canada"
Nami Restaurant,Japanese; Seafood,"(43.650853, -79.376001)",55 Adelaide Street E,"55, Adelaide Street East, King East, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5C 2T6, Canada"
La Chilaca Taqueria,Mexican,"(43.6547204, -79.4022615444444)",214 Augusta Avenue,"214, Augusta Avenue, Kensington Market, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5T 1M1, Canada"
Olive + Lemon,Italian; Seafood; Pizza,"(43.8452512623755, -79.5570956086677)",3604 Major MacKenzie Dr W,"3604, Major MacKenzie Drive West, Vellore, Maple, Vaughan, York Region, Golden Horseshoe, Ontario, L4H 0A2, Canada"
Napoli Centrale,Italian; Pizza,"(43.6693760153846, -79.4130696038462)",964 Bathurst Street,"964, Bathurst Street, Seaton Village, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5R 3G5, Canada"
Fuwa Fuwa Japanese Pancakes,Desserts; Patisserie/Cake Shop; Bakeries,"(43.7114634, -79.3991804)",2471 Yonge Street,"Douce France, 2471, Yonge Street, Don Valley West, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4P 2H6, Canada"
The Burgers Priest,Burgers,"(43.7326128, -79.4038844)",3397 Yonge Street,"The Burger's Priest, 3397, Yonge Street, Lawrence Park, Don Valley West, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4N 2M7, Canada"
Sheherzade Persian Grill And Dizi,Persian/Iranian,"(44.1756661, -77.3953268)",422 College St W,"College Street West, Belleville, Central Ontario, Ontario, K8P 3C1, Canada"
Weslodge Bar & Grill,Canadian (New); Cocktail Bars,"(43.6453893, -79.3961396)",480 King Street W,"Weslodge, 480, King Street West, Fashion District, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5V 1L8, Canada"
One Love Vegetarian,Caribbean; Vegetarian,"(43.6666987, -79.4120339)",854 Bathurst Street,"One Love Vegetarian, 854, Bathurst Street, Mirvish Village, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5R 3G2, Canada"
Sake Bar Kushi,Japanese; Sushi Bars; Tapas Bars,"(43.7047805538461, -79.4069715076923)",257 Eglinton Avenue W,"257, Eglinton Avenue West, Eglinton—Lawrence, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4R 1B2, Canada"
JINYA Ramen Bar,Ramen,"(43.6617704, -79.3791012)",399 Church Street,"Jinya Ramen Bar, 399, Church Street, Church-Wellesley Village, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5B 2J6, Canada"
Bazara Asian Cuisine,Asian Fusion; Sushi Bars,"(43.6485093, -79.4206039)",188 Ossington Avenue,"Bazara, 188, Ossington Avenue, Ossington Strip, Davenport, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6J 2Z5, Canada"
Cinco Mexican Restaurant,Mexican,"(43.6430943, -79.4476225)",131 Roncesvalles Ave,"Cinco, 131, Roncesvalles Avenue, Parkdale, Roncesvalles, Parkdale—High Park, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6R 2K3, Canada"
Uncle Tetsus Japanese Angel Cafe,Desserts; Patisserie/Cake Shop,"(43.654927, -79.386802)",191 Dundas Street W,"Uncle Tetsu's Japanese Angel Cafe, 191, Dundas Street West, First Chinatown, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5G 1C7, Canada"
illstyl3 Sammies,Cheesesteaks; Sandwiches,"(43.6490620526316, -79.3915015789474)",300 Richmond Street W,"300, Richmond Street West, Entertainment District, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5V 1V6, Canada"
Figs and Olives Kitchen,Mediterranean; Middle Eastern; Halal,"(43.664782, -79.385776)",24 Wellesley Street W,"Rabba, 24, Wellesley Street West, Church-Wellesley Village, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4Y 1E7, Canada"
Simit & Chai,Coffee & Tea; Sandwiches; Bakeries,"(43.4555829, -80.5090028703017)",787 King Street W,"Kitchener Waterloo Collegiate and Vocational School, 787, King Street West, Downtown, Kitchener, Waterloo Region, Southwestern Ontario, Ontario, N2G 1E3, Canada"
Mi Taco Taqueria,Mexican,"(43.6502871, -79.3887141)",247 Queen Street W,"Mi Taco Taqueria, 247, Queen Street West, Entertainment District, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, Canada"
Tastys Caribbean Restaurant,Caribbean,"(43.6566613846154, -79.3992273846154)",405 Spadina Avenue,"405, Spadina Avenue, Chinatown, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5T 1R6, Canada"
Venezia Bakery,Bakeries; Delis,"(45.38959455, -75.6865006713083)",114 Ossington Avenue,"114, Ossington Avenue, Rideau Gardens, Old Ottawa South, Capital, (Old) Ottawa, Ottawa, Eastern Ontario, Ontario, K1S 0X5, Canada"
Kupfert & Kim,Gluten-Free; Vegetarian; Vegan,"(45.4015413, -75.7193390404712)",140 Spadina Avenue.,"140, Spadina Avenue, Civic Hospital, Hintonburg, Kitchissippi, (Old) Ottawa, Ottawa, Eastern Ontario, Ontario, K1Y 3P7, Canada"
Mortons The Steakhouse,Steakhouses,"(43.6691956, -79.3946177)",4 Avenue Road,"Park Hyatt Toronto, 4, Avenue Road, Bloor Street Culture Corridor, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5S 1M4, Canada"
Tre Mari Bakery,Bakeries; Italian; Delicatessen,"(43.676532, -79.4486337)",1311 Saint Clair Avenue W,"Tre Mari Bakery, 1311, St. Clair Avenue West, Earlscourt, Davenport, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6E 1C2, Canada"
Panda Express,Chinese,"(43.6739865, -79.470624)",80 Weston Rd,"Panda Express, 80, Weston Road, Harwood, York, York South—Weston, York, Toronto, Golden Horseshoe, Ontario, Canada"
Stelvio,Italian,"(43.6517986, -79.4077909823529)",791 Dundas Street W,"791, Dundas Street West, Kensington Market, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6J 1W3, Canada"
Rialto Espresso Bar,Coffee & Tea; Bakeries,"(43.6481395, -79.3897951)",266 Adelaide Street W,"266, Adelaide Street West, Entertainment District, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, Canada"
El Almacen Yerba Mate Café,Coffee & Tea,"(43.6437266, -79.4217317)",1078 Queen Street W,"El Almacen, 1078, Queen Street West, Little Portugal, Davenport, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6J 1H8, Canada"
Fresh on Eglinton,Vegan; Salad; Juice Bars & Smoothies,"(43.7073671, -79.3960657)",90 Eglinton Avenue E,"Kinton Ramen, 90, Eglinton Avenue East, Yonge & Eglinton, Toronto—St. Paul's, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4P 1A9, Canada"
Jin Dal Lae,Korean,"(43.6641492, -79.4151744)",647 Bloor Street W,"JIn Dal Lae Korean Restaurant, 647, Bloor Street West, Mirvish Village, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6G 1K8, Canada"
R&D Restaurant,Asian Fusion; Chinese,"(43.6515083, -79.3971185)",241 Spadina Avenue,"R&D, 241, Spadina Avenue, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5T 2C7, Canada"
Naan & Kabob,Afghan; Kebab,"(43.669092, -79.386166)",691 Yonge Street,"691, Yonge Street, Yorkville, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4Y 2B2, Canada"
Smith,Breakfast & Brunch; Canadian (New); Bars,"(42.9989753, -79.3623008)",553 Church Street,"553, Church Street, Pelham, Niagara Region, Golden Horseshoe, Ontario, L0S 1C0, Canada"
Tiger Sugar,Bubble Tea,"(43.7387624865723, -79.4020904615362)",348A Yonge Street,"348, Yonge Street, Hogg's Hollow, Don Valley West, North York, Toronto, Golden Horseshoe, Ontario, M4N 3R8, Canada"
Touhenboku Ramen Restaurant,Ramen; Desserts,"(43.6501898, -79.3891371)",261 Queen Street W,"Touhenboku Ramen, 261, Queen Street West, Entertainment District, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, Canada"
Niuda Hand-Pulled Noodles,Chinese; Noodles,"(43.6504392, -79.3890162)",204 Queen St W,"Niuda, 204, Queen Street West, Entertainment District, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, Canada"
Sansotei Ramen,Ramen,"(43.6392301551456, -79.3981945345631)",115 Fort York Boulevard,"115, Fort York Boulevard, CityPlace, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5V 0J8, Canada"
Cacao 70,Breakfast & Brunch; Chocolatiers & Shops,"(43.6501713, -79.3606229)",28 Gristmill Lane,"Cacao 79 distillery, 28, Gristmill Lane, Distillery District, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5A 3C4, Canada"
Millie Patisserie & Creamery,Desserts; Bakeries; Ice Cream & Frozen Yogurt,"(43.6463684, -79.3946189)",12 Oxley Street,"Oxley Street, Fashion District, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5V 2K2, Canada"
Patisserie 27,Bakeries,"(43.6584838, -79.488056)",401 Jane Street,"Patisserie 27, 401, Jane Street, Humberside, Parkdale—High Park, Old Toronto, Toronto, Ontario, Canada"
Gladstone Hotel,Hotels; Lounges,"(43.64276815, -79.4269251064553)",1214 Queen Street W,"Gladstone Hotel, 1214, Queen Street West, Little Portugal, Davenport, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6J 1J6, Canada"
Eggstatic,Breakfast & Brunch,"(43.70534519, -79.37521302)",1568 bayview avenue,"1568, Bayview Avenue, Leaside, Don Valley West, East York, Toronto, Golden Horseshoe, Ontario, M4G 3B5, Canada"
Pig Out BBQ,Barbeque; American (Traditional); Sandwiches,"(43.6522566, -79.3978725)",650 Spadina Avenue,"Spadina Avenue, Chinatown, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5T 2E4, Canada"
Golden Thai Restaurant,Thai,"(43.6523701, -79.3752239)",105 Church Street,"Golden Thai, 105, Church Street, King East, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5C 2G3, Canada"
Scaddabush Italian Kitchen & Bar,Italian,"(43.64498685, -79.3858647904376)",200 Front Street W.,"Simcoe Place, 200, Front Street West, Entertainment District, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5V 2X3, Canada"
Mayrik,Middle Eastern; Mediterranean,"(43.705575125, -79.375302)",1580 Bayview Avenue,"1580, Bayview Avenue, Leaside, Don Valley West, East York, Toronto, Golden Horseshoe, Ontario, M4G 3B5, Canada"
Cherry Street Bar-B-Que,Barbeque,"(43.6455733, -79.3523147)",275 Cherry Street,"Cherry Street Restaurant, 275, Cherry Street, Port Lands, Toronto—Danforth, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5A 1A4, Canada"
Little Piggys - Authentic Korean BBQ,Korean; Barbeque,"(43.6658803, -79.4067052)",469 Bloor St W,"Mt. Everest Restaurant, 469, Bloor Street West, Mirvish Village, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5S 1Y5, Canada"
Pizzeria Libretto,Pizza; Italian,"(43.2610678, -79.884608)",545 King Street W,"545, King Street West, Hess Village, Hamilton, Ontario, L8P 4W3, Canada"
Bar + Karaoke Lounge,Karaoke; Bars,"(43.6582949, -79.3819746)",360 Yonge Street,"Bar+ Karaoke Lounge, 360, Yonge Street, Downtown Yonge, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5B 1S5, Canada"
Umami Poke,Hawaiian; Seafood; Poke,"(43.7384961141496, -79.4024744792377)",1252 Yonge Street,"1252, Yonge Street, Hogg's Hollow, Don Valley West, North York, Toronto, Golden Horseshoe, Ontario, M4N 3R8, Canada"
